First Name:         Last Name:         Rank:           Salary:
FirstName0186       LastName0186      Associate       69588.09
FirstName0187       LastName0187      Assistant      100612.91
FirstName0188       LastName0188      Assistant      116068.32
FirstName0189       LastName0189      Assistant       70134.28
FirstName0190       LastName0190      Assistant       51640.46
FirstName0191       LastName0191      Associate       94151.46
FirstName0192       LastName0192      Associate       92114.81
FirstName0193       LastName0193      Assistant       75233.93
FirstName0194       LastName0194      Assistant       61860.28
FirstName0195       LastName0195      Associate       66523.31
FirstName0196       LastName0196      Assistant      126296.95
FirstName0197       LastName0197      Associate       77295.96
FirstName0198       LastName0198      Assistant       88146.72
FirstName0199       LastName0199      Associate       77054.42
FirstName0200       LastName0200      Associate       67859.97
FirstName0201       LastName0201      Assistant       76279.31
FirstName0202       LastName0202      Associate       77094.12
FirstName0203       LastName0203      Assistant      129561.29
FirstName0204       LastName0204      Assistant      101153.08
FirstName0205       LastName0205      Assistant       57777.94
FirstName0206       LastName0206      Assistant       50896.22
FirstName0207       LastName0207      Assistant      112691.46
FirstName0208       LastName0208      Assistant       97284.91
FirstName0209       LastName0209      Associate       82764.70
FirstName0210       LastName0210      Associate       78002.82
FirstName0211       LastName0211      Assistant       52161.26
FirstName0212       LastName0212      Assistant       90808.80
FirstName0213       LastName0213      Assistant      102542.86
FirstName0214       LastName0214      Associate       92347.41
FirstName0215       LastName0215      Associate       96911.65
FirstName0216       LastName0216      Assistant      110282.96
FirstName0217       LastName0217      Assistant      124521.87
FirstName0218       LastName0218      Assistant       61689.28
FirstName0219       LastName0219      Associate       68989.70
FirstName0220       LastName0220      Assistant       59111.55
FirstName0221       LastName0221      Assistant       62201.97
FirstName0222       LastName0222      Assistant       55510.48
FirstName0223       LastName0223      Assistant       60178.66
FirstName0224       LastName0224      Assistant       57087.39
FirstName0225       LastName0225      Assistant      129104.86
FirstName0226       LastName0226      Associate       92594.71
FirstName0227       LastName0227      Assistant       83403.21
FirstName0228       LastName0228      Assistant       63654.49
FirstName0229       LastName0229      Assistant      100513.06
FirstName0230       LastName0230      Assistant       96181.58
FirstName0231       LastName0231      Associate       72727.91
FirstName0232       LastName0232      Assistant      115574.65
FirstName0233       LastName0233      Assistant       59752.03
FirstName0234       LastName0234      Assistant       50658.26
FirstName0235       LastName0235      Assistant       78058.49
FirstName0236       LastName0236      Assistant       76064.85
FirstName0237       LastName0237      Associate       66941.38
FirstName0238       LastName0238      Assistant       54934.58
FirstName0239       LastName0239      Associate       70678.88
FirstName0240       LastName0240      Assistant      110206.87
FirstName0241       LastName0241      Assistant      111055.94
FirstName0242       LastName0242      Associate       94924.55
FirstName0243       LastName0243      Associate       73583.77
FirstName0244       LastName0244      Assistant       75532.79
FirstName0245       LastName0245      Assistant      117385.75
FirstName0246       LastName0246      Assistant      113368.87
FirstName0247       LastName0247      Associate       80984.58
FirstName0248       LastName0248      Associate       69629.01
FirstName0249       LastName0249      Assistant       74262.18
FirstName0250       LastName0250      Assistant       76677.27
FirstName0251       LastName0251      Assistant       63485.90
FirstName0252       LastName0252      Assistant      129524.51
FirstName0253       LastName0253      Assistant       61525.73
FirstName0254       LastName0254      Assistant       79750.95
FirstName0255       LastName0255      Associate       93423.42
FirstName0256       LastName0256      Assistant       53779.31
FirstName0257       LastName0257      Associate       71566.24
FirstName0258       LastName0258      Associate       63850.60
FirstName0259       LastName0259      Associate       64398.60
FirstName0260       LastName0260      Assistant       83551.98
FirstName0261       LastName0261      Assistant       54170.02
FirstName0262       LastName0262      Assistant       91290.95
FirstName0263       LastName0263      Associate       95604.60
FirstName0264       LastName0264      Associate       91461.81
FirstName0265       LastName0265      Associate       61297.60
FirstName0266       LastName0266      Assistant       53767.07
FirstName0267       LastName0267      Assistant      112831.93
FirstName0268       LastName0268      Assistant      108008.52
FirstName0269       LastName0269      Assistant       70971.17
FirstName0270       LastName0270      Assistant       75972.62
FirstName0271       LastName0271      Assistant       98700.83
FirstName0272       LastName0272      Assistant       75836.93
FirstName0273       LastName0273      Associate       94269.35
FirstName0274       LastName0274      Associate       62730.80
FirstName0275       LastName0275      Assistant       69489.55
FirstName0276       LastName0276      Associate       94767.67
FirstName0277       LastName0277      Assistant      116361.76
FirstName0278       LastName0278      Assistant      110120.36
FirstName0279       LastName0279      Assistant       62790.51
FirstName0280       LastName0280      Associate       80392.21
FirstName0281       LastName0281      Assistant       53166.42
FirstName0282       LastName0282      Assistant       67501.90
FirstName0283       LastName0283      Associate       78205.96
FirstName0284       LastName0284      Assistant      125513.16
FirstName0285       LastName0285      Assistant       78065.79
FirstName0286       LastName0286      Associate       65586.89
FirstName0287       LastName0287      Associate       92395.23
FirstName0288       LastName0288      Assistant       97811.13
FirstName0289       LastName0289      Assistant       79460.54
FirstName0290       LastName0290      Associate       90399.30
FirstName0291       LastName0291      Associate       70708.08
FirstName0292       LastName0292      Associate       64773.27
FirstName0293       LastName0293      Assistant       71130.59
FirstName0294       LastName0294      Associate       77077.16
FirstName0295       LastName0295      Assistant       58582.68
FirstName0296       LastName0296      Assistant       77356.81
FirstName0297       LastName0297      Assistant       52237.27
FirstName0298       LastName0298      Associate       69322.49
FirstName0299       LastName0299      Associate       99235.08
FirstName0300       LastName0300      Associate       85667.19
FirstName0301       LastName0301      Associate       85579.84
FirstName0302       LastName0302      Assistant       89391.93
FirstName0303       LastName0303      Assistant      113664.14
FirstName0304       LastName0304      Assistant       72499.52
FirstName0305       LastName0305      Associate       82960.52
FirstName0306       LastName0306      Assistant       77946.69
FirstName0307       LastName0307      Assistant       78382.39
FirstName0308       LastName0308      Assistant      114324.70
FirstName0309       LastName0309      Associate       87934.60
FirstName0310       LastName0310      Associate       67802.82
FirstName0311       LastName0311      Associate       79630.27
FirstName0312       LastName0312      Associate       99165.05
FirstName0313       LastName0313      Assistant      112508.10
FirstName0314       LastName0314      Assistant       74365.39
FirstName0315       LastName0315      Associate       88364.04
FirstName0316       LastName0316      Associate       70759.57
FirstName0317       LastName0317      Assistant       77194.36
FirstName0318       LastName0318      Assistant       50191.47
FirstName0319       LastName0319      Assistant      111681.70
FirstName0320       LastName0320      Assistant       64044.70
FirstName0321       LastName0321      Assistant      114093.65
FirstName0322       LastName0322      Assistant       65508.76
FirstName0323       LastName0323      Associate       93271.79
FirstName0324       LastName0324      Assistant       99908.34
FirstName0325       LastName0325      Associate       99622.00
FirstName0326       LastName0326      Associate       65804.65
FirstName0327       LastName0327      Assistant      124938.47
FirstName0328       LastName0328      Assistant       66527.36
FirstName0329       LastName0329      Assistant       95618.07
FirstName0330       LastName0330      Assistant      114877.93
FirstName0331       LastName0331      Assistant       93618.99
FirstName0332       LastName0332      Assistant       66008.12
FirstName0333       LastName0333      Assistant       99913.93
FirstName0334       LastName0334      Associate       87084.49
FirstName0335       LastName0335      Assistant       85294.19
FirstName0336       LastName0336      Associate       72056.26
FirstName0337       LastName0337      Assistant       73198.87
FirstName0338       LastName0338      Assistant       62845.55
FirstName0339       LastName0339      Associate       69910.36
FirstName0340       LastName0340      Associate       86918.42
FirstName0341       LastName0341      Associate       83510.40
FirstName0342       LastName0342      Associate       69380.81
FirstName0343       LastName0343      Associate       79163.59
FirstName0344       LastName0344      Assistant       78137.46
FirstName0345       LastName0345      Assistant      106017.96
FirstName0346       LastName0346      Associate       67683.71
FirstName0347       LastName0347      Assistant       81189.85
FirstName0348       LastName0348      Associate       63345.50
FirstName0349       LastName0349      Associate       97510.87
FirstName0350       LastName0350      Assistant       64090.70
FirstName0351       LastName0351      Associate       61213.57
FirstName0352       LastName0352      Assistant       75678.91
FirstName0353       LastName0353      Assistant       74873.12
FirstName0354       LastName0354      Assistant       51496.19
FirstName0355       LastName0355      Assistant       89410.48
FirstName0356       LastName0356      Associate       62566.30
FirstName0357       LastName0357      Assistant      113142.82
FirstName0358       LastName0358      Associate       80518.58
FirstName0359       LastName0359      Assistant      113320.55
FirstName0360       LastName0360      Assistant       73706.66
FirstName0361       LastName0361      Assistant       82270.31
FirstName0362       LastName0362      Associate       85969.07
FirstName0363       LastName0363      Assistant       94759.10
FirstName0364       LastName0364      Associate       76509.10
FirstName0365       LastName0365      Assistant      104324.71
FirstName0366       LastName0366      Associate       97375.18
FirstName0367       LastName0367      Assistant       75407.69
FirstName0368       LastName0368      Assistant      108292.01
FirstName0369       LastName0369      Assistant       89643.31
FirstName0370       LastName0370      Associate       66144.60
FirstName0371       LastName0371      Assistant       73269.57
FirstName0372       LastName0372      Assistant      114599.61
FirstName0373       LastName0373      Assistant       62127.42
FirstName0374       LastName0374      Assistant      114009.97
FirstName0375       LastName0375      Assistant       59970.64
FirstName0376       LastName0376      Assistant       86852.54
FirstName0377       LastName0377      Assistant       55807.58
FirstName0378       LastName0378      Associate       75892.67
FirstName0379       LastName0379      Assistant       90484.45
FirstName0380       LastName0380      Assistant       77238.47
FirstName0381       LastName0381      Assistant      116049.89
FirstName0382       LastName0382      Assistant       70633.78
FirstName0383       LastName0383      Assistant       76304.40
FirstName0384       LastName0384      Associate       65333.68
FirstName0385       LastName0385      Associate       87078.41
FirstName0386       LastName0386      Assistant       73831.86
FirstName0387       LastName0387      Assistant      105432.99
FirstName0388       LastName0388      Assistant       99434.34
FirstName0389       LastName0389      Assistant       69670.41
FirstName0390       LastName0390      Associate       62732.94
FirstName0391       LastName0391      Assistant       97755.31
FirstName0392       LastName0392      Assistant       83094.35
FirstName0393       LastName0393      Assistant       80613.80
FirstName0394       LastName0394      Assistant       65047.13
FirstName0395       LastName0395      Assistant       79911.41
FirstName0396       LastName0396      Associate       97769.26
FirstName0397       LastName0397      Assistant      101984.40
FirstName0398       LastName0398      Assistant       95614.31
FirstName0399       LastName0399      Assistant      118251.37
FirstName0400       LastName0400      Assistant       68826.21
FirstName0401       LastName0401      Assistant      129533.93
FirstName0402       LastName0402      Assistant       60050.01
FirstName0403       LastName0403      Assistant       96353.12
FirstName0404       LastName0404      Assistant       59200.65
FirstName0405       LastName0405      Assistant       62570.85
FirstName0406       LastName0406      Assistant       63139.06
FirstName0407       LastName0407      Assistant       99890.48
FirstName0408       LastName0408      Assistant       78876.80
FirstName0409       LastName0409      Assistant       71306.23
FirstName0410       LastName0410      Assistant      126752.77
FirstName0411       LastName0411      Assistant      120556.25
FirstName0412       LastName0412      Associate       69500.66
FirstName0413       LastName0413      Assistant       62200.62
FirstName0414       LastName0414      Assistant       76414.13
FirstName0415       LastName0415      Assistant       66560.57
FirstName0416       LastName0416      Associate       84885.09
FirstName0417       LastName0417      Assistant       75860.36
FirstName0418       LastName0418      Assistant       71613.09
FirstName0419       LastName0419      Associate       80687.99
FirstName0420       LastName0420      Associate       77944.06
FirstName0421       LastName0421      Assistant       54419.87
FirstName0422       LastName0422      Associate       84237.66
FirstName0423       LastName0423      Assistant      125706.16
FirstName0424       LastName0424      Assistant       60532.33
FirstName0425       LastName0425      Associate       95120.95
FirstName0426       LastName0426      Associate       60305.08
FirstName0427       LastName0427      Assistant      121346.40
FirstName0428       LastName0428      Associate       64117.14
FirstName0429       LastName0429      Associate       77359.06
FirstName0430       LastName0430      Assistant      118556.29
FirstName0431       LastName0431      Assistant       65949.09
FirstName0432       LastName0432      Assistant       79737.05
FirstName0433       LastName0433      Assistant       91284.73
FirstName0434       LastName0434      Associate       60093.63
FirstName0435       LastName0435      Assistant       58570.10
FirstName0436       LastName0436      Assistant       54157.64
FirstName0437       LastName0437      Associate       78868.99
FirstName0438       LastName0438      Assistant      123772.60
FirstName0439       LastName0439      Associate       99357.64
FirstName0440       LastName0440      Associate       77294.84
FirstName0441       LastName0441      Assistant       87747.78
FirstName0442       LastName0442      Assistant       78689.24
FirstName0443       LastName0443      Associate       85697.74
FirstName0444       LastName0444      Assistant       79150.56
FirstName0445       LastName0445      Assistant      109755.66
FirstName0446       LastName0446      Assistant       53310.20
FirstName0447       LastName0447      Associate       83310.29
FirstName0448       LastName0448      Associate       67682.72
FirstName0449       LastName0449      Assistant       66223.96
FirstName0450       LastName0450      Assistant       53401.93
FirstName0451       LastName0451      Assistant       51883.82
FirstName0452       LastName0452      Assistant       79298.87
FirstName0453       LastName0453      Associate       65910.08
FirstName0454       LastName0454      Assistant      127729.19
FirstName0455       LastName0455      Associate       78686.97
FirstName0456       LastName0456      Associate       64979.67
FirstName0457       LastName0457      Assistant       84501.72
FirstName0458       LastName0458      Assistant      124705.67
FirstName0459       LastName0459      Associate       76195.70
FirstName0460       LastName0460      Assistant       78635.39
FirstName0461       LastName0461      Associate       70049.48
FirstName0462       LastName0462      Associate       68510.48
FirstName0463       LastName0463      Assistant       59357.76
FirstName0464       LastName0464      Assistant      116693.70
FirstName0465       LastName0465      Assistant       86900.58
FirstName0466       LastName0466      Associate       95670.06
FirstName0467       LastName0467      Assistant       97354.27
FirstName0468       LastName0468      Assistant      127658.43
FirstName0469       LastName0469      Associate       70065.15
FirstName0470       LastName0470      Assistant       78518.80
FirstName0471       LastName0471      Assistant       80184.57
FirstName0472       LastName0472      Associate       90482.46
FirstName0473       LastName0473      Assistant       82483.97
FirstName0474       LastName0474      Associate       99123.06
FirstName0475       LastName0475      Assistant       55167.65
FirstName0476       LastName0476      Associate       80892.38
FirstName0477       LastName0477      Assistant       78036.98
FirstName0478       LastName0478      Assistant       51923.02
FirstName0479       LastName0479      Assistant       62817.53
FirstName0480       LastName0480      Associate       61682.99
FirstName0481       LastName0481      Assistant      113499.90
FirstName0482       LastName0482      Associate       74216.86
FirstName0483       LastName0483      Associate       79129.79
FirstName0484       LastName0484      Associate       70429.61
FirstName0485       LastName0485      Assistant      109460.00
FirstName0486       LastName0486      Assistant       73367.85
FirstName0487       LastName0487      Assistant      127768.85
FirstName0488       LastName0488      Assistant      128043.88
FirstName0489       LastName0489      Assistant       52982.94
FirstName0490       LastName0490      Assistant       71549.17
FirstName0491       LastName0491      Assistant       96549.59
FirstName0492       LastName0492      Assistant       63104.30
FirstName0493       LastName0493      Assistant      124006.24
FirstName0494       LastName0494      Assistant       70370.15
FirstName0495       LastName0495      Assistant       93752.24
FirstName0496       LastName0496      Associate       68379.90
FirstName0497       LastName0497      Assistant      116778.40
FirstName0498       LastName0498      Assistant       87469.30
FirstName0499       LastName0499      Assistant      113975.19
FirstName0500       LastName0500      Associate       72895.24
FirstName0501       LastName0501      Assistant       67368.58
FirstName0502       LastName0502      Assistant       72034.50
FirstName0503       LastName0503      Associate       70241.02
FirstName0504       LastName0504      Assistant       72615.81
FirstName0505       LastName0505      Assistant       60258.32
FirstName0506       LastName0506      Assistant      114801.22
FirstName0507       LastName0507      Assistant       71177.33
FirstName0508       LastName0508      Assistant      126218.68
FirstName0509       LastName0509      Assistant       65328.96
FirstName0510       LastName0510      Assistant      120858.26
FirstName0511       LastName0511      Assistant       76203.51
FirstName0512       LastName0512      Assistant      101480.90
FirstName0513       LastName0513      Assistant       63130.34
FirstName0514       LastName0514      Assistant       71199.22
FirstName0515       LastName0515      Assistant       71357.12
FirstName0516       LastName0516      Assistant      109771.42
FirstName0517       LastName0517      Assistant      120366.81
FirstName0518       LastName0518      Associate       72781.07
FirstName0519       LastName0519      Assistant       57621.51
FirstName0520       LastName0520      Associate       96946.06
FirstName0521       LastName0521      Assistant       99909.65
FirstName0522       LastName0522      Associate       82121.07
FirstName0523       LastName0523      Assistant       79760.55
FirstName0524       LastName0524      Assistant       82756.42
FirstName0525       LastName0525      Assistant       69314.17
FirstName0526       LastName0526      Associate       61133.27
FirstName0527       LastName0527      Associate       63923.63
FirstName0528       LastName0528      Assistant       68840.72
FirstName0529       LastName0529      Associate       67400.64
FirstName0530       LastName0530      Assistant       64979.79
FirstName0531       LastName0531      Assistant       99815.72
FirstName0532       LastName0532      Assistant       96522.91
FirstName0533       LastName0533      Assistant      112734.38
FirstName0534       LastName0534      Assistant       93401.66
FirstName0535       LastName0535      Assistant      104024.60
FirstName0536       LastName0536      Associate       86253.79
FirstName0537       LastName0537      Associate       83622.92
FirstName0538       LastName0538      Assistant      123090.65
FirstName0539       LastName0539      Associate       86109.85
FirstName0540       LastName0540      Assistant       73531.07
FirstName0541       LastName0541      Assistant       92381.92
FirstName0542       LastName0542      Associate       87920.69
FirstName0543       LastName0543      Assistant       86513.84
FirstName0544       LastName0544      Assistant       71337.28
FirstName0545       LastName0545      Assistant       57336.35
FirstName0546       LastName0546      Assistant       79753.58
FirstName0547       LastName0547      Associate       86143.63
FirstName0548       LastName0548      Assistant       92476.33
FirstName0549       LastName0549      Associate       81464.22
FirstName0550       LastName0550      Associate       68613.75
FirstName0551       LastName0551      Assistant       98814.43
FirstName0552       LastName0552      Associate       75674.64
FirstName0553       LastName0553      Associate       99639.35
FirstName0554       LastName0554      Assistant      122528.64
FirstName0555       LastName0555      Assistant       83574.32
FirstName0556       LastName0556      Assistant       52789.97
FirstName0557       LastName0557      Assistant       98274.22
FirstName0558       LastName0558      Assistant       70268.67
FirstName0559       LastName0559      Assistant      108531.57
FirstName0560       LastName0560      Assistant       79313.84
FirstName0561       LastName0561      Assistant       90680.24
FirstName0562       LastName0562      Associate       70061.99
FirstName0563       LastName0563      Assistant       64253.85
FirstName0564       LastName0564      Associate       88083.03
FirstName0565       LastName0565      Assistant       64964.38
FirstName0566       LastName0566      Assistant       68589.68
FirstName0567       LastName0567      Associate       93403.79
FirstName0568       LastName0568      Assistant      127013.16
FirstName0569       LastName0569      Associate       89068.61
FirstName0570       LastName0570      Assistant      122119.94
FirstName0571       LastName0571      Assistant       74735.03
FirstName0572       LastName0572      Assistant       79783.79
FirstName0573       LastName0573      Assistant       66530.89
FirstName0574       LastName0574      Assistant      124678.51
FirstName0575       LastName0575      Associate       60795.45
FirstName0576       LastName0576      Assistant      108290.87
FirstName0577       LastName0577      Assistant       90685.69
FirstName0578       LastName0578      Assistant      122005.77
FirstName0579       LastName0579      Associate       76633.68
FirstName0580       LastName0580      Assistant      114222.06
FirstName0581       LastName0581      Assistant       61693.73
FirstName0582       LastName0582      Assistant       57930.84
FirstName0583       LastName0583      Assistant       79735.01
FirstName0584       LastName0584      Associate       95080.98
FirstName0585       LastName0585      Assistant       71470.65
FirstName0586       LastName0586      Assistant       57312.61
FirstName0587       LastName0587      Assistant       76305.71
FirstName0588       LastName0588      Associate       81377.96
FirstName0589       LastName0589      Assistant       77587.60
FirstName0590       LastName0590      Assistant       96681.89
FirstName0591       LastName0591      Assistant      115159.62
FirstName0592       LastName0592      Associate       67561.97
FirstName0593       LastName0593      Associate       86674.16
FirstName0594       LastName0594      Assistant      122105.50
FirstName0595       LastName0595      Assistant      101664.20
FirstName0596       LastName0596      Assistant      127450.28
FirstName0597       LastName0597      Assistant      125469.41
FirstName0598       LastName0598      Associate       60489.94
FirstName0599       LastName0599      Associate       70095.76
FirstName0600       LastName0600      Assistant       80881.45
FirstName0601       LastName0601      Associate       99198.14
FirstName0602       LastName0602      Assistant      109300.14
FirstName0603       LastName0603      Associate       88662.80
FirstName0604       LastName0604      Assistant       67224.48
FirstName0605       LastName0605      Assistant       60246.10
FirstName0606       LastName0606      Assistant       63350.30
FirstName0607       LastName0607      Associate       98103.11
FirstName0608       LastName0608      Associate       79666.80
FirstName0609       LastName0609      Assistant       70380.84
FirstName0610       LastName0610      Associate       83716.41
FirstName0611       LastName0611      Assistant      108833.86
FirstName0612       LastName0612      Assistant       57977.43
FirstName0613       LastName0613      Assistant       53830.56
FirstName0614       LastName0614      Assistant       56268.77
FirstName0615       LastName0615      Assistant      107577.44
